MIAC Championships,Ryan Powley,St. Olaf College,27:52,79,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Evan Olson,St. Olaf College,27:52,80,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ricky Devine,Saint John's University,27:52,81,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Scott Haidet,St. Olaf College,27:55,82,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Brian Byrnes,Augsburg College,27:57,83,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Nick Johnson,University Of St. Thomas,27:58,84,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Phil Meyer,St. Olaf College,27:59,85,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Joel McDougall,Bethel University,27:59,86,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Tanner Davenport,Gustavus Adolphus College,28:00,87,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Eric Mueller,St. Olaf College,28:02,88,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Adam Lund,Gustavus Adolphus College,28:03,89,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Robby Williams,University Of St. Thomas,28:04,90,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Noah Laack-Veeder,Carleton College,28:05,91,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ethan Armbruster,University Of St. Thomas,28:06,92,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Colin Charpentier,Saint John's University,28:06,93,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Tim Erickson,St. Olaf College,28:07,94,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Paul Frekot,University Of St. Thomas,28:08,95,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Justin Ivory,Bethel University,28:08,96,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Joesph Renier,Gustavus Adolphus College,28:09,97,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Brian Farley,University Of St. Thomas,28:10,98,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Zach Greimann,St. Olaf College,28:11,99,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Luke Iverson,Augsburg College,28:11,100,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Kyle Rossow,Saint John's University,28:11,101,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Shane Harlow,Hamline University,28:13,102,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Cj Seifert,University Of St. Thomas,28:13,103,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Colton Rod,St. Olaf College,28:15,104,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Zach Brintz,University Of St. Thomas,28:15,105,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Chris Bernard,Bethel University,28:18,106,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Dakota Darkstar,Augsburg College,28:19,107,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Jon Kasprisin,Gustavus Adolphus College,28:20,108,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Matthew Fitzgerald,Carleton College,28:20,109,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Dan Bakken,St. Olaf College,28:24,110,2011,"Como Park Golf Course, St. Paul"
